ID	Type	Annotator	LABEL	Text								
1	Exploration	all	N/A	Nothing, I’m fine.								
2	Exploration	all	N/A	All right, hang on. Is this still about your mom’s book?								
3	Exploration	all	N/A	No. Not everything is about my mom.								
4	Exploration	all	TACT	’Cause if you’re still upset about that, we don’t have to go.								
5	Exploration	all	N/A	Except this is totally about my mom.								
6	Exploration	all	N/A	Hey, Claire.								
7	Exploration	all	N/A	Hey, what’s up?								
8	Exploration	all	TACT	Hi, yeah. Um, I was wondering, if you’re free Saturday night, all my friends are going to a wine tasting.								
9	Exploration	all	TACT	Sure, I guess. If you don’t think meeting your friends is too big a step.								
10	Exploration	all	N/A	Why would it be too big a step?								
11	Exploration	all	N/A	It’s great. It’s Christmastime and Jimmy Stewart’s really depressed and he’s gonna jump off a bridge and kill himself.								
12	Exploration	all	N/A	Don’t need to see it. Living it.								
13	Exploration	all	N/A	But then he gets to see what the world would be like if he’d never been born.								
14	Exploration	all	N/A	Hey, you ever imagine what that would be like? Not being born?								
15	Exploration	all	N/A	What do you think?								
16	Exploration	all	N/A	Okay, why don’t you just tell me what it is you have to tell me?								
17	Exploration	all	N/A	Okay, um, well, look, it’s just that things between you and me have been going pretty quick.								
18	Exploration	all	N/A	And?								
19	Exploration	all	N/A	It’s just a little scary.								
20	Exploration	all	AGREEMENT	Well, yeah, but scary good, right?								
21	Exploration	all	N/A	Today, it’s a Chinese food retrieval robot.								
22	Exploration	all	N/A	I don’t think that’s going to happen, Sheldon.								
23	Exploration	all	N/A	No one ever does. That’s why it happens.								
24	Exploration	all	N/A	Hey. Is the food here? Ooh. What’s that?								
25	Exploration	all	N/A	That, dear lady, is the Wolowitz Programmable Hand.								
26	Exploration	all	N/A	Oh, Tesla.								
27	Exploration	all	N/A	Hi.								
28	Exploration	all	N/A	Hello.								
29	Exploration	all	N/A	Hey, how did it go?								
30	Exploration	all	N/A	Oh, not fun. The doctor shoved a camera up into my sinuses.								
31	Exploration	all	TACT	I say, uh, how about one, two, three, go?								
32	Exploration	all	N/A	One-two-three-go? That’s for babies.								
33	Exploration	all	TACT	Okay, how about, uh, on your mark, get set, go?								
34	Exploration	all	N/A	That’s for a footrace.								
35	Exploration	all	N/A	No, it’s chilly outside. Didn’t bring my jacket.								
36	Exploration	all	N/A	I’m not a child, don’t do that.								
37	Exploration	all	N/A	Sorry.								
38	Exploration	all	N/A	Do you know 2001: A Space Odyssey? All right, now that’s soothing.								
39	Exploration	all	TACT	Look, I get it, this is still my room, we haven’t really made it yours.								
40	Exploration	all	N/A	No, of course not. How did you know about that?								
41	Exploration	all	N/A	I did a comprehensive background check.								
42	Exploration	all	N/A	Yes, I did.								
43	Exploration	all	N/A	Hearing unimpaired, good.								
44	Exploration	all	APPROBATION	It would be an incredible honour to work for a man of your brilliance.								
45	Exploration	all	N/A	How could it? I never told you, and you never bothered to ask.								
46	Exploration	all	N/A	Well, now I know.								
47	Exploration	all	N/A	Yeah.								
48	Exploration	all	N/A	So, Penny, I understand you have a new job.								
49	Exploration	all	N/A	Yes. I’m a pharmaceutical sales rep.								
50	Exploration	all	N/A	How did you get paint in your eye?								
51	Exploration	all	N/A	Because you wouldn’t let me wear safety goggles.								
52	Exploration	all	N/A	Will you tell this lunatic that Professor Rothman’s office is rightfully mine?								
53	Exploration	all	TACT	Can’t you take this up with your department chairman?								
54	Exploration	all	N/A	We tried. His assistant said he was on sabbatical.								
55	Exploration	all	N/A	Gentlemen, there’s a task I’m trying to accomplish here.								
56	Exploration	all	TACT	I don’t mean to be an alarmist…								
57	Exploration	all	N/A	I’m out.								
58	Exploration	all	TACT	I’m sorry, Ma, I have to stay late at the office.								
59	Exploration	all	N/A	No, he doesn’t! He’s lying to you!								
60	Exploration	all	N/A	Will you be quiet?								
61	Exploration	all	N/A	I know. But if she orders something low-fat I’ll totally give her the full-fat version.								
